condition_id,provider,model,tier,theorem_id,theorem_name,sample,grade
deepseek|deepseek-chat|10.5|meaning|2,deepseek,deepseek-chat,legacy,10.5,first_prime_gt_3_even_minus4_is_0,2,2
deepseek|deepseek-chat|11|meaning|0,deepseek,deepseek-chat,legacy,11,unique_proofs,0,2
deepseek|deepseek-chat|11|meaning|1,deepseek,deepseek-chat,legacy,11,unique_proofs,1,0
deepseek|deepseek-chat|11|meaning|2,deepseek,deepseek-chat,legacy,11,unique_proofs,2,2
deepseek|deepseek-chat|12|meaning|0,deepseek,deepseek-chat,legacy,12,Theorem_12.rational_polynomial_coordinates,0,1
deepseek|deepseek-chat|12|meaning|1,deepseek,deepseek-chat,legacy,12,Theorem_12.rational_polynomial_coordinates,1,1
deepseek|deepseek-chat|12|meaning|2,deepseek,deepseek-chat,legacy,12,Theorem_12.rational_polynomial_coordinates,2,1
deepseek|deepseek-chat|13|meaning|0,deepseek,deepseek-chat,legacy,13,Theorem_13.a_eq_b_eq_c,0,2
deepseek|deepseek-chat|13|meaning|1,deepseek,deepseek-chat,legacy,13,Theorem_13.a_eq_b_eq_c,1,2
deepseek|deepseek-chat|13|meaning|2,deepseek,deepseek-chat,legacy,13,Theorem_13.a_eq_b_eq_c,2,2
deepseek|deepseek-chat|14|meaning|0,deepseek,deepseek-chat,legacy,14,Theorem_14.overflow,0,2
deepseek|deepseek-chat|14|meaning|1,deepseek,deepseek-chat,legacy,14,Theorem_14.overflow,1,1
deepseek|deepseek-chat|14|meaning|2,deepseek,deepseek-chat,legacy,14,Theorem_14.overflow,2,1
deepseek|deepseek-v4-pro|1|meaning|0,deepseek,deepseek-v4-pro,frontier,1,one_half_third_coord_is_bijection,0,2
deepseek|deepseek-v4-pro|1|meaning|1,deepseek,deepseek-v4-pro,frontier,1,one_half_third_coord_is_bijection,1,2
deepseek|deepseek-v4-pro|1|meaning|2,deepseek,deepseek-v4-pro,frontier,1,one_half_third_coord_is_bijection,2,1
deepseek|deepseek-v4-pro|2|meaning|0,deepseek,deepseek-v4-pro,frontier,2,polynomial_factorization_30,0,2
deepseek|deepseek-v4-pro|2|meaning|1,deepseek,deepseek-v4-pro,frontier,2,polynomial_factorization_30,1,2
deepseek|deepseek-v4-pro|2|meaning|2,deepseek,deepseek-v4-pro,frontier,2,polynomial_factorization_30,2,2
deepseek|deepseek-v4-pro|3|meaning|0,deepseek,deepseek-v4-pro,frontier,3,polynomials_within_polynomials,0,2
deepseek|deepseek-v4-pro|3|meaning|1,deepseek,deepseek-v4-pro,frontier,3,polynomials_within_polynomials,1,2
deepseek|deepseek-v4-pro|3|meaning|2,deepseek,deepseek-v4-pro,frontier,3,polynomials_within_polynomials,2,2
deepseek|deepseek-v4-pro|4|meaning|0,deepseek,deepseek-v4-pro,frontier,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,0,2
deepseek|deepseek-v4-pro|4|meaning|1,deepseek,deepseek-v4-pro,frontier,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,1,0
deepseek|deepseek-v4-pro|4|meaning|2,deepseek,deepseek-v4-pro,frontier,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,2,2
deepseek|deepseek-v4-pro|5|meaning|0,deepseek,deepseek-v4-pro,frontier,5,Riemann_hypothesis_in_closure_of_not_not,0,2
deepseek|deepseek-v4-pro|5|meaning|1,deepseek,deepseek-v4-pro,frontier,5,Riemann_hypothesis_in_closure_of_not_not,1,2
deepseek|deepseek-v4-pro|5|meaning|2,deepseek,deepseek-v4-pro,frontier,5,Riemann_hypothesis_in_closure_of_not_not,2,2
deepseek|deepseek-v4-pro|6|meaning|0,deepseek,deepseek-v4-pro,frontier,6,TFAE_7_binary,0,2
deepseek|deepseek-v4-pro|6|meaning|1,deepseek,deepseek-v4-pro,frontier,6,TFAE_7_binary,1,1
deepseek|deepseek-v4-pro|6|meaning|2,deepseek,deepseek-v4-pro,frontier,6,TFAE_7_binary,2,2
deepseek|deepseek-v4-pro|7|meaning|0,deepseek,deepseek-v4-pro,frontier,7,not_dot_not_det_or_and_not_det_and,0,2
deepseek|deepseek-v4-pro|7|meaning|1,deepseek,deepseek-v4-pro,frontier,7,not_dot_not_det_or_and_not_det_and,1,2
deepseek|deepseek-v4-pro|7|meaning|2,deepseek,deepseek-v4-pro,frontier,7,not_dot_not_det_or_and_not_det_and,2,2
deepseek|deepseek-v4-pro|8|meaning|0,deepseek,deepseek-v4-pro,frontier,8,Exists_GrpCat_nonmeasurable,0,2
deepseek|deepseek-v4-pro|8|meaning|1,deepseek,deepseek-v4-pro,frontier,8,Exists_GrpCat_nonmeasurable,1,2
deepseek|deepseek-v4-pro|8|meaning|2,deepseek,deepseek-v4-pro,frontier,8,Exists_GrpCat_nonmeasurable,2,2
deepseek|deepseek-v4-pro|9|meaning|0,deepseek,deepseek-v4-pro,frontier,9,riemannZeta_one',0,2
deepseek|deepseek-v4-pro|9|meaning|1,deepseek,deepseek-v4-pro,frontier,9,riemannZeta_one',1,2
deepseek|deepseek-v4-pro|9|meaning|2,deepseek,deepseek-v4-pro,frontier,9,riemannZeta_one',2,2
deepseek|deepseek-v4-pro|10|meaning|0,deepseek,deepseek-v4-pro,frontier,10,two_minus_three_eq_infty,0,2
deepseek|deepseek-v4-pro|10|meaning|1,deepseek,deepseek-v4-pro,frontier,10,two_minus_three_eq_infty,1,2
deepseek|deepseek-v4-pro|10|meaning|2,deepseek,deepseek-v4-pro,frontier,10,two_minus_three_eq_infty,2,2
deepseek|deepseek-v4-pro|10.5|meaning|0,deepseek,deepseek-v4-pro,frontier,10.5,first_prime_gt_3_even_minus4_is_0,0,2
deepseek|deepseek-v4-pro|10.5|meaning|1,deepseek,deepseek-v4-pro,frontier,10.5,first_prime_gt_3_even_minus4_is_0,1,2
deepseek|deepseek-v4-pro|10.5|meaning|2,deepseek,deepseek-v4-pro,frontier,10.5,first_prime_gt_3_even_minus4_is_0,2,2
deepseek|deepseek-v4-pro|11|meaning|0,deepseek,deepseek-v4-pro,frontier,11,unique_proofs,0,2
deepseek|deepseek-v4-pro|11|meaning|1,deepseek,deepseek-v4-pro,frontier,11,unique_proofs,1,2
deepseek|deepseek-v4-pro|11|meaning|2,deepseek,deepseek-v4-pro,frontier,11,unique_proofs,2,2
deepseek|deepseek-v4-pro|12|meaning|0,deepseek,deepseek-v4-pro,frontier,12,Theorem_12.rational_polynomial_coordinates,0,2
deepseek|deepseek-v4-pro|12|meaning|1,deepseek,deepseek-v4-pro,frontier,12,Theorem_12.rational_polynomial_coordinates,1,2
deepseek|deepseek-v4-pro|12|meaning|2,deepseek,deepseek-v4-pro,frontier,12,Theorem_12.rational_polynomial_coordinates,2,2
deepseek|deepseek-v4-pro|13|meaning|0,deepseek,deepseek-v4-pro,frontier,13,Theorem_13.a_eq_b_eq_c,0,2
deepseek|deepseek-v4-pro|13|meaning|1,deepseek,deepseek-v4-pro,frontier,13,Theorem_13.a_eq_b_eq_c,1,2
deepseek|deepseek-v4-pro|13|meaning|2,deepseek,deepseek-v4-pro,frontier,13,Theorem_13.a_eq_b_eq_c,2,2
deepseek|deepseek-v4-pro|14|meaning|0,deepseek,deepseek-v4-pro,frontier,14,Theorem_14.overflow,0,2
deepseek|deepseek-v4-pro|14|meaning|1,deepseek,deepseek-v4-pro,frontier,14,Theorem_14.overflow,1,2
deepseek|deepseek-v4-pro|14|meaning|2,deepseek,deepseek-v4-pro,frontier,14,Theorem_14.overflow,2,2
openai|gpt-4o|1|meaning|0,openai,gpt-4o,legacy,1,one_half_third_coord_is_bijection,0,0
openai|gpt-4o|1|meaning|1,openai,gpt-4o,legacy,1,one_half_third_coord_is_bijection,1,0
openai|gpt-4o|1|meaning|2,openai,gpt-4o,legacy,1,one_half_third_coord_is_bijection,2,0
openai|gpt-4o|2|meaning|0,openai,gpt-4o,legacy,2,polynomial_factorization_30,0,1
openai|gpt-4o|2|meaning|1,openai,gpt-4o,legacy,2,polynomial_factorization_30,1,1
openai|gpt-4o|2|meaning|2,openai,gpt-4o,legacy,2,polynomial_factorization_30,2,1
openai|gpt-4o|3|meaning|0,openai,gpt-4o,legacy,3,polynomials_within_polynomials,0,1
openai|gpt-4o|3|meaning|1,openai,gpt-4o,legacy,3,polynomials_within_polynomials,1,1
openai|gpt-4o|3|meaning|2,openai,gpt-4o,legacy,3,polynomials_within_polynomials,2,1
openai|gpt-4o|4|meaning|0,openai,gpt-4o,legacy,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,0,0
openai|gpt-4o|4|meaning|1,openai,gpt-4o,legacy,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,1,0
openai|gpt-4o|4|meaning|2,openai,gpt-4o,legacy,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,2,0
openai|gpt-4o|5|meaning|0,openai,gpt-4o,legacy,5,Riemann_hypothesis_in_closure_of_not_not,0,2
openai|gpt-4o|5|meaning|1,openai,gpt-4o,legacy,5,Riemann_hypothesis_in_closure_of_not_not,1,1
openai|gpt-4o|5|meaning|2,openai,gpt-4o,legacy,5,Riemann_hypothesis_in_closure_of_not_not,2,1
openai|gpt-4o|6|meaning|0,openai,gpt-4o,legacy,6,TFAE_7_binary,0,0
openai|gpt-4o|6|meaning|1,openai,gpt-4o,legacy,6,TFAE_7_binary,1,0
openai|gpt-4o|6|meaning|2,openai,gpt-4o,legacy,6,TFAE_7_binary,2,0
openai|gpt-4o|7|meaning|0,openai,gpt-4o,legacy,7,not_dot_not_det_or_and_not_det_and,0,0
openai|gpt-4o|7|meaning|1,openai,gpt-4o,legacy,7,not_dot_not_det_or_and_not_det_and,1,0
openai|gpt-4o|7|meaning|2,openai,gpt-4o,legacy,7,not_dot_not_det_or_and_not_det_and,2,0
openai|gpt-4o|8|meaning|0,openai,gpt-4o,legacy,8,Exists_GrpCat_nonmeasurable,0,1
openai|gpt-4o|8|meaning|1,openai,gpt-4o,legacy,8,Exists_GrpCat_nonmeasurable,1,1
openai|gpt-4o|8|meaning|2,openai,gpt-4o,legacy,8,Exists_GrpCat_nonmeasurable,2,1
openai|gpt-4o|9|meaning|0,openai,gpt-4o,legacy,9,riemannZeta_one',0,1
openai|gpt-4o|9|meaning|1,openai,gpt-4o,legacy,9,riemannZeta_one',1,1
openai|gpt-4o|9|meaning|2,openai,gpt-4o,legacy,9,riemannZeta_one',2,1
openai|gpt-4o|10|meaning|0,openai,gpt-4o,legacy,10,two_minus_three_eq_infty,0,2
openai|gpt-4o|10|meaning|1,openai,gpt-4o,legacy,10,two_minus_three_eq_infty,1,2
openai|gpt-4o|10|meaning|2,openai,gpt-4o,legacy,10,two_minus_three_eq_infty,2,2
openai|gpt-4o|10.5|meaning|0,openai,gpt-4o,legacy,10.5,first_prime_gt_3_even_minus4_is_0,0,1
openai|gpt-4o|10.5|meaning|1,openai,gpt-4o,legacy,10.5,first_prime_gt_3_even_minus4_is_0,1,1
openai|gpt-4o|10.5|meaning|2,openai,gpt-4o,legacy,10.5,first_prime_gt_3_even_minus4_is_0,2,1
openai|gpt-4o|11|meaning|0,openai,gpt-4o,legacy,11,unique_proofs,0,1
openai|gpt-4o|11|meaning|1,openai,gpt-4o,legacy,11,unique_proofs,1,1
openai|gpt-4o|11|meaning|2,openai,gpt-4o,legacy,11,unique_proofs,2,1
openai|gpt-4o|12|meaning|0,openai,gpt-4o,legacy,12,Theorem_12.rational_polynomial_coordinates,0,1
openai|gpt-4o|12|meaning|1,openai,gpt-4o,legacy,12,Theorem_12.rational_polynomial_coordinates,1,1
openai|gpt-4o|12|meaning|2,openai,gpt-4o,legacy,12,Theorem_12.rational_polynomial_coordinates,2,1
openai|gpt-4o|13|meaning|0,openai,gpt-4o,legacy,13,Theorem_13.a_eq_b_eq_c,0,2
openai|gpt-4o|13|meaning|1,openai,gpt-4o,legacy,13,Theorem_13.a_eq_b_eq_c,1,2
openai|gpt-4o|13|meaning|2,openai,gpt-4o,legacy,13,Theorem_13.a_eq_b_eq_c,2,2
openai|gpt-4o|14|meaning|0,openai,gpt-4o,legacy,14,Theorem_14.overflow,0,1
openai|gpt-4o|14|meaning|1,openai,gpt-4o,legacy,14,Theorem_14.overflow,1,1
openai|gpt-4o|14|meaning|2,openai,gpt-4o,legacy,14,Theorem_14.overflow,2,1
openai|gpt-5.5|1|meaning|0,openai,gpt-5.5,frontier,1,one_half_third_coord_is_bijection,0,2
openai|gpt-5.5|1|meaning|1,openai,gpt-5.5,frontier,1,one_half_third_coord_is_bijection,1,2
openai|gpt-5.5|1|meaning|2,openai,gpt-5.5,frontier,1,one_half_third_coord_is_bijection,2,2
openai|gpt-5.5|2|meaning|0,openai,gpt-5.5,frontier,2,polynomial_factorization_30,0,2
openai|gpt-5.5|2|meaning|1,openai,gpt-5.5,frontier,2,polynomial_factorization_30,1,2
openai|gpt-5.5|2|meaning|2,openai,gpt-5.5,frontier,2,polynomial_factorization_30,2,2
openai|gpt-5.5|3|meaning|0,openai,gpt-5.5,frontier,3,polynomials_within_polynomials,0,2
openai|gpt-5.5|3|meaning|1,openai,gpt-5.5,frontier,3,polynomials_within_polynomials,1,2
openai|gpt-5.5|3|meaning|2,openai,gpt-5.5,frontier,3,polynomials_within_polynomials,2,2
openai|gpt-5.5|4|meaning|0,openai,gpt-5.5,frontier,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,0,2
openai|gpt-5.5|4|meaning|1,openai,gpt-5.5,frontier,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,1,2
openai|gpt-5.5|4|meaning|2,openai,gpt-5.5,frontier,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,2,2
openai|gpt-5.5|5|meaning|0,openai,gpt-5.5,frontier,5,Riemann_hypothesis_in_closure_of_not_not,0,2
openai|gpt-5.5|5|meaning|1,openai,gpt-5.5,frontier,5,Riemann_hypothesis_in_closure_of_not_not,1,2
openai|gpt-5.5|5|meaning|2,openai,gpt-5.5,frontier,5,Riemann_hypothesis_in_closure_of_not_not,2,2
openai|gpt-5.5|6|meaning|0,openai,gpt-5.5,frontier,6,TFAE_7_binary,0,2
openai|gpt-5.5|6|meaning|1,openai,gpt-5.5,frontier,6,TFAE_7_binary,1,2
openai|gpt-5.5|6|meaning|2,openai,gpt-5.5,frontier,6,TFAE_7_binary,2,2
openai|gpt-5.5|7|meaning|0,openai,gpt-5.5,frontier,7,not_dot_not_det_or_and_not_det_and,0,2
openai|gpt-5.5|7|meaning|1,openai,gpt-5.5,frontier,7,not_dot_not_det_or_and_not_det_and,1,2
openai|gpt-5.5|7|meaning|2,openai,gpt-5.5,frontier,7,not_dot_not_det_or_and_not_det_and,2,2
openai|gpt-5.5|8|meaning|0,openai,gpt-5.5,frontier,8,Exists_GrpCat_nonmeasurable,0,2
openai|gpt-5.5|8|meaning|1,openai,gpt-5.5,frontier,8,Exists_GrpCat_nonmeasurable,1,2
openai|gpt-5.5|8|meaning|2,openai,gpt-5.5,frontier,8,Exists_GrpCat_nonmeasurable,2,2
openai|gpt-5.5|9|meaning|0,openai,gpt-5.5,frontier,9,riemannZeta_one',0,2
openai|gpt-5.5|9|meaning|1,openai,gpt-5.5,frontier,9,riemannZeta_one',1,2
openai|gpt-5.5|9|meaning|2,openai,gpt-5.5,frontier,9,riemannZeta_one',2,2
openai|gpt-5.5|10|meaning|0,openai,gpt-5.5,frontier,10,two_minus_three_eq_infty,0,2
openai|gpt-5.5|10|meaning|1,openai,gpt-5.5,frontier,10,two_minus_three_eq_infty,1,2
openai|gpt-5.5|10|meaning|2,openai,gpt-5.5,frontier,10,two_minus_three_eq_infty,2,2
openai|gpt-5.5|10.5|meaning|0,openai,gpt-5.5,frontier,10.5,first_prime_gt_3_even_minus4_is_0,0,2
openai|gpt-5.5|10.5|meaning|1,openai,gpt-5.5,frontier,10.5,first_prime_gt_3_even_minus4_is_0,1,2
openai|gpt-5.5|10.5|meaning|2,openai,gpt-5.5,frontier,10.5,first_prime_gt_3_even_minus4_is_0,2,2
openai|gpt-5.5|11|meaning|0,openai,gpt-5.5,frontier,11,unique_proofs,0,2
openai|gpt-5.5|11|meaning|1,openai,gpt-5.5,frontier,11,unique_proofs,1,2
openai|gpt-5.5|11|meaning|2,openai,gpt-5.5,frontier,11,unique_proofs,2,2
openai|gpt-5.5|12|meaning|0,openai,gpt-5.5,frontier,12,Theorem_12.rational_polynomial_coordinates,0,2
openai|gpt-5.5|12|meaning|1,openai,gpt-5.5,frontier,12,Theorem_12.rational_polynomial_coordinates,1,2
openai|gpt-5.5|12|meaning|2,openai,gpt-5.5,frontier,12,Theorem_12.rational_polynomial_coordinates,2,2
openai|gpt-5.5|13|meaning|0,openai,gpt-5.5,frontier,13,Theorem_13.a_eq_b_eq_c,0,2
openai|gpt-5.5|13|meaning|1,openai,gpt-5.5,frontier,13,Theorem_13.a_eq_b_eq_c,1,2
openai|gpt-5.5|13|meaning|2,openai,gpt-5.5,frontier,13,Theorem_13.a_eq_b_eq_c,2,2
openai|gpt-5.5|14|meaning|0,openai,gpt-5.5,frontier,14,Theorem_14.overflow,0,2
openai|gpt-5.5|14|meaning|1,openai,gpt-5.5,frontier,14,Theorem_14.overflow,1,2
openai|gpt-5.5|14|meaning|2,openai,gpt-5.5,frontier,14,Theorem_14.overflow,2,2
